sku;post_title;post_excerpt;post_content;post_status;regular_price;sale_price;stock_status;stock;manage_stock;weight;Images;tax:product_type;tax:product_cat
28700160;Ego dakgoot reiniger agc1001;;;publish;41.31;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
28700165;Ego ar1900 gazonroller 47cm t.b.v lm1900-e-sp lm1903-e-sp;;;publish;57.84;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700170;Ego ar1700 gazonroller 42cm t.b.v lm1701e-lm1700-lm1701esp;;;publish;49.57;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
20100745;Ego borstel bba2100 aanbouwdeel;;;publish;222.31;;instock;1;;5;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;multitools
28700171;Maaidraad al2475t 75m 2.4mm voor ego trimmers twist line;;;publish;24.78;;instock;1;;0;;;bosmaaiers_en_trimmers
28700172;Maaidraad al2490r 90m 2.4mm rond kleur oranje;;;publish;20.65;;instock;1;;0;;;bosmaaiers_en_trimmers
28700173;Maaidraad al2715r 15m 2.7mm rond kleur rood;;;publish;7.84;;instock;1;;0;;;bosmaaiers_en_trimmers
28700174;Maaidraad al2715t 15m 2.7mm twist line kleur rood/groen;;;publish;10.73;;instock;1;;0;;;bosmaaiers_en_trimmers
28700175;Maaidraad al2780r 80m 2.7mm rond rood;;;publish;20.65;;instock;1;;0;;;bosmaaiers_en_trimmers
28700176;Maaidraad al2760t 60m 2.7mm twist line rood/groen;;;publish;24.78;;instock;1;;0;;;bosmaaiers_en_trimmers
28700177;Maaidraad al3012r 12m 3.0mm rond kleur geel;;;publish;7.42;;instock;1;;0;;;bosmaaiers_en_trimmers
28700178;Maaidraad al3012t 12m 3.0mm twist line kleur geel/groen;;;publish;10.32;;instock;1;;0;;;bosmaaiers_en_trimmers
28700179;Maaidraad al3060r 60m 3.0mm rond kleur geel;;;publish;20.65;;instock;1;;0;;;bosmaaiers_en_trimmers
28700180;Maaidraad al3050t 50m 3.0mm twist line kleur geel/groen;;;publish;24.78;;instock;1;;0;;;bosmaaiers_en_trimmers
28700182;Ego abb0903p 3 tands maaimes flexible 250mmx4mm 25.4;;;publish;20.65;;instock;1;;0;;;originele_onderdelen_onze_belangrijkste_merken
20100801;Ego gazonmaaier lm2135e-sp 52cm;;;publish;825.61;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;maaimachines
20100802;Ego accu ba2240t 4,0 ah 56 volt accu;;;publish;176.85;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;accus_en_laders
20100803;Ego 150w power escape pad1501e(pad1500e,ba1400t,ch2100e);;;publish;197.52;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;accus_en_laders
20100804;Ego strimmer st1401e-st;;;publish;288.42;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;bosmaaiers_en_trimmers
20100805;Ego top handelzaag csx3000 30cm;;;publish;412.39;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100806;Ego strimmer st1400e-st st1400e-st;;;publish;180.99;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;bosmaaiers_en_trimmers
20100807;Ego 150w power escape pad1500e;;;publish;90.08;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;accus_en_laders
20100808;Ego heggenschaar ptx5100 51cm pole hedge;;;publish;205.78;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100809;Ego kettingzaag psx2500 25cm pole saw;;;publish;180.99;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100810;Ego kettingzaag ppx1000 telescopic pole;;;publish;354.54;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100811;Ego long reach ppcx1000 kit (ppx1000,psx2500,ptx5100);;;publish;660.33;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100815;Ego heggenschaar ht2000e;;;publish;164.46;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100820;Ego trimmer st1300e-s;;;publish;131.40;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;bosmaaiers_en_trimmers
20100825;Ego trimmer st1301e-s;;;publish;238.84;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;bosmaaiers_en_trimmers
20100830;Ego top handelzaag csx3002 kit(csx3000,ba2240t,ch5500) 30cm;;;publish;577.68;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100835;Ego rotocut deel rta2300 multitool;;;publish;247.10;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;multitools
20100812;Ego heggenschaar ht2411e promotie kit (2,5ah+std.lader);;;publish;288.42;;instock;1;;0;/wp-content/uploads/files/20100812/product_image_1/HT2410_1.png;;snoeien_en_zagen
20100765;Ego sneeuwblazer 61 cm kit snt2400e-k2753;;;publish;1652.06;;instock;1;;0;;;bladblazers_en_hakselaars
20100813;Ego sneeuwschuif deel ssa1200 multitool;;;publish;180.99;;instock;1;;0;/wp-content/uploads/files/20100813/product_image_1/sneeuwfrees uit folder.jpg;;multitools
28700184;Ego ab2100d-e mulchmes set tbv lm2130e-sp;;;publish;33.04;;instock;1;;0;;;originele_onderdelen_onze_belangrijkste_merken
28700185;Ego abp2100d-e mulchmes +plug tbv lm2130e-sp;;;publish;49.57;;instock;1;;0;/wp-content/uploads/files/20100813/product_image_1/sneeuwfrees uit folder.jpg;;toebehoren_maaimachines
28700186;Ego cm001 opberghoes tbv lm2130e-sp;;;publish;57.84;;instock;1;;0;/wp-content/uploads/files/20100813/product_image_1/sneeuwfrees uit folder.jpg;;opbergen
28700188;Ego powerload ah1522 tbv st1400e-st;;;publish;37.18;;instock;1;;0;/wp-content/uploads/files/28700188/product_image_1/AH1520.jpg;;bosmaaiers_en_trimmers
28700189;Ego ah3810 any insert maaikop anti clockwise;;;publish;33.04;;instock;1;;0;;;bosmaaiers_en_trimmers
28700190;Ego aks2400d skid shoes pair snt2400e;;;publish;20.65;;instock;1;;0;;;originele_onderdelen_onze_belangrijkste_merken
28700191;Ego act2400 chute cleaning tool snt2400e;;;publish;16.52;;instock;1;;0;;;originele_onderdelen_onze_belangrijkste_merken
28700192;Ego ac1200 ketting 90px 30cm tbv csx3000;;;publish;16.52;;instock;1;;0;;;zaagkettingen_en_onderdelen
28700187;Maaidraad al2415r 15m 2.4mm rond v.alle 35-38cm trimmers;;;publish;6.60;;instock;1;;0;;;bosmaaiers_en_trimmers
28700193;Ego ag1200 geleiderblad tbv csx3000;;;publish;23.13;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;snoeien_en_zagen
28700194;Ego abh3000 harnass+ cable csx3000;;;publish;81.81;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;snoeien_en_zagen
28700110;Ego veiligheidsset gsv021e-xl 0340169237;;;publish;22.30;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;hoofdbescherming
20100078;Ego adaptor bax adb1000 0340169181;;;publish;48.76;;instock;1;;7.80;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
28700093;Ego bril transparant gs001 0340169187;;;publish;10.73;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;hoofdbescherming
28700096;Ego bril geel gs003e;;;publish;10.73;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;hoofdbescherming
28700094;Ego bril donker gs002e 0340169188;;;publish;10.73;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;hoofdbescherming
28700091;Ego handschoen gv001e-xxl maat xxl synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;handschoenen
20100093;Ego heating jacket l 8802088002-18 inlc lader;;;publish;179;;instock;1;;7.30;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;veiligheidskleding
20100095;Ego heating jacket m 8802090002-18 incl lader;;;publish;179;;instock;1;;7.30;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;veiligheidskleding
20100094;Ego heating jacket xl 8802089002-18 incl lader;;;publish;179;;instock;1;;7.30;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;veiligheidskleding
20100092;Ego heating jacket xxl 8802087002-18 inlc lader;;;publish;179;;instock;1;;7.30;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;veiligheidskleding
20100851;Ego snellader chv1600e 1200w 24a t.b.v. z6;;;publish;247.10;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
28700200;Ego standaardmes ab4200 t.b.v. z6 ( 2 setjes );;;publish;24.78;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;toebehoren_maaimachines
28700205;Ego high-lift mes ab4201 t.b.v. z6 ( 2 setjes );;;publish;27.26;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;toebehoren_maaimachines
28700210;Ego mulchplug amp4200 t.b.v. z6;;;publish;33.04;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;toebehoren_maaimachines
28700215;Ego opvangbak abk4200-a t.b.v. z6;;;publish;288.42;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;toebehoren_maaimachines
28700220;Ego afdekhoes crm001 t.b.v. z6;;;publish;106.61;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;toebehoren_maaimachines
20100852;Ego gazonmaaier lm1702e-sp 42cm (4ah+std lader);;;publish;536.36;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;maaimachines
20100853;Ego heggenschaar ht2001e promotie kit (2,5ah+std.lader);;;publish;271.90;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;snoeien_en_zagen
20100854;Ego kettingzaag cs1610e;;;publish;230.57;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;snoeien_en_zagen
20100855;Ego kettingzaag cs1614e kit 5ah+snellader ch5500;;;publish;437.19;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;snoeien_en_zagen
20100856;Ego bladblazer lb5804e kit 5ah+snellader ch5500;;;publish;404.13;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;bladblazers_en_hakselaars
20100857;Ego bladblazer lb7650e;;;publish;230.57;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;bladblazers_en_hakselaars
20100858;Ego accu ba6720t 12 ah 56 volt accu;;;publish;528.09;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
20100859;Ego accu laadbox chu6000;;;publish;495.04;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
20100860;Ego accu laadbox kit (laadbox+chv1600e lader);;;publish;660.33;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
28700221;Ego laad adapter aca1000;;;publish;114.87;;instock;1;;0;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;accus_en_laders
20100840;Ego zitmaaier z6 (incl. 5 ah & 10 ah accu );;;publish;4131.40;;instock;1;;186;/wp-content/uploads/files/28700193/product_image_1/AG1200.jpg;;maaimachines
28700161;Ego ab2102d-e = 3707130002 mes;;;publish;33.05;;instock;1;;0.001;;;originele_onderdelen_onze_belangrijkste_merken
20100100;Ego accu cba0240 t.b.v buxusschaar;;;publish;23.96;;instock;1;;0.195;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100105;Ego accu ba4200t 7,5 ah 56 volt accu 0400150002;;;publish;329.75;;instock;1;;2.90;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100106;Ego accu ba2800t 5,0 ah 56 volt accu 0400151002;;;publish;222.31;;instock;1;;2.20;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100595;Ego accu ba1400t 2,5 ah 56 volt accu model 2019;;;publish;110.74;;instock;1;;1.30;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100066;Ego rug accu bax1300 0340169179;;;publish;949.59;;instock;1;;7.80;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100084;Ego rug accu bax1501 kit;;;publish;1156.19;;instock;1;;10.30;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100086;Ego snellader chx5500e 56 volt;;;publish;123.14;;instock;1;;1.50;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100009;Ego snellader ch5500e 56 volt 0220095016;;;publish;81.81;;instock;1;;2.10;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100008;Ego standaard lader ch2100e 56 volt 0220094013;;;publish;48.76;;instock;1;;1.20;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100102;Ego lader cch0450e t.b.v buxusschaar;;;publish;23.96;;instock;1;;0.28;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;accus_en_laders
20100004;Ego kettingzaag cs1400e;;;publish;205.78;;instock;1;;3.76;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700082;EGO KETTING AC1000-AC1001 tbv PSA1000 0340169196 (90PX040);;;publish;14.04;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700045;Ego schouderriem ap4800 lb4800e;;;publish;10.73;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;bladblazers_en_hakselaars
28700040;Ego schouderriem ap1500 0340164398 met klembeugel;;;publish;10.73;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;bladblazers_en_hakselaars
28700035;Ego geleideblad ag1600 voor cs1600e (164mlea041);;;publish;24.78;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700030;Ego geleideblad ag1400 voor cs1400e (144mlea041);;;publish;20.65;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700083;Ego eind beschermer atp2000 tbv hta2000;;;publish;6.60;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700025;EGO Ketting AC1600 = AC1601   voor CS1600E (90PX056E);;;publish;16.52;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
28700020;EGO 90PX ketting AC1400=AC1401Voor CS1400E (90PX052E);;;publish;14.04;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;zaagkettingen_en_onderdelen
28700031;Ego kettingzaag tas bcs1000;;;publish;57.84;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100560;Ego heggenschaar htx7500;;;publish;371.07;;instock;1;;6.50;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100083;Ego heggenschaar htx6500 0260072002;;;publish;329.75;;instock;1;;6;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100023;Ego heggenschaar ht6500e 0260053002;;;publish;247.10;;instock;1;;3.80;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100022;Ego heggenschaar ht5100e 0260053001;;;publish;230.57;;instock;1;;3.60;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100502;Ego heggenschaar ht2410e;;;publish;180.99;;instock;1;;4.70;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100545;Ego grasschaar cht2001e kit (incl accu en lader) ch2001e;;;publish;81.81;;instock;1;;1.922;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;snoeien_en_zagen
20100064;Ego zaag deel psa1000e multitool;;;publish;131.40;;instock;1;;2.20;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100067;Ego verleng deel ep7501 multitool 0340169191(ep7500);;;publish;90.08;;instock;1;;2.40;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100062;Ego trim deel (mes) bca1200e multitool 0260056002;;;publish;90.08;;instock;1;;1.60;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100061;Ego trim deel (draad) sta1500emultitool 0260056012;;;publish;90.08;;instock;1;;1.47;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100089;Ego ph1400e hta2000 psa1000 multitool kit mhcc1002e;;;publish;676.85;;instock;1;;7.30;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
28700032;Ego multitool tas bmh1000;;;publish;74.37;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100090;Ego multitool kit mhsc2002e 0330136001;;;publish;990.90;;instock;1;;12.90;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100065;Ego kantsnijder deel ea0800e multitool;;;publish;114.87;;instock;1;;2.40;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100063;Ego heggenschaar deel hta2000 long multitool;;;publish;197.52;;instock;1;;2.70;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100575;Ego heggenschaar deel hta2000s short multitool;;;publish;180.99;;instock;1;;3.10;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100580;Ego cultivator deel cta9500 multitool;;;publish;180.99;;instock;1;;5;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
20100060;Ego power unit ph1400e multitool;;;publish;222.31;;instock;1;;2.70;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;multitools
28700115;Ego maaikop ah3800 2825606001 voor bcx3800;;;publish;24.78;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;bosmaaiers_en_trimmers
28700090;Maaidraad al2415t 15m 2.4mm maaidraad st1500 bc1500;;;publish;9.90;;instock;1;;0;/wp-content/uploads/files/20100100/product_image_1/cba0240.jpg;;bosmaaiers_en_trimmers
