sku;categories;enabled;erp_artikelomschrijving;erp_brutoprijs-EUR;erp_btwcode;erp_eancode;erp_eenheid_verkoopaantal;erp_extra_artikelinformatie;erp_gewicht;erp_gewicht-unit;erp_merk;erp_vervangend_artikel;erp_voorlopend_artikelnummer_1;erp_voorlopend_artikelnummer_2;erp_voorlopend_artikelnummer_3;erp_voorlopend_artikelnummer_4;family;pim_aansluiting_hart_op_hart;pim_aansluiting_hart_op_hart-unit;pim_aantal_aandrijfschakels;pim_aantal_bewegingen_min;pim_aantal_in_machine;pim_aantal_lagen;pim_aantal_tanden;pim_accuduur_boost_snelheid;pim_accuduur_hoge_snelheid;pim_accuduur_lage_snelheid;pim_accuspanning;pim_accuspanning-unit;pim_afmetingen;pim_artikelnaam;pim_artikelstatus;pim_asgat;pim_asgat-unit;pim_bandenmaat;pim_binnendoorsnee_band;pim_binnendoorsnee_band-unit;pim_blaaspijpen;pim_blaaspijpen-unit;pim_bladaansluiting;pim_bladbreedte;pim_bladbreedte-unit;pim_bladlengte_cm;pim_bladmodel;pim_bladpuntbescherming;pim_blad_dikte_mm;pim_blad_dikte_mm-unit;pim_breedte;pim_breedte-unit;pim_buitendoorsnee_band;pim_buitendoorsnee_band-unit;pim_capaciteit;pim_centreergaten;pim_centreergaten-unit;pim_diameter;pim_diameter-unit;pim_diepte;pim_diepte-unit;pim_dikte;pim_dikte-unit;pim_dikte_aandrijfschakel;pim_dikte_aandrijfschakel-unit;pim_draaddiameter;pim_draaddoorvoer;pim_draaibare_handgreep;pim_draaiing;pim_draairichting;pim_ergonomische_stuurbeugel;pim_functies;pim_gebruiksduur;pim_gebruikstoepassing;pim_geluidsniveau;pim_geluidsniveau-unit;pim_geluidsniveau_in_gebruik;pim_geluidsniveau_in_gebruik-unit;pim_geluidsvermogen;pim_geluidsvermogen-unit;pim_geschikt_voor;pim_geschikt_voor_merk;pim_geschikt_voor_type;pim_gewicht;pim_gewicht_met_accu;pim_gewicht_met_accu-unit;pim_gewicht_zonder_accu;pim_gewicht_zonder_accu-unit;pim_groefbreedte;pim_groefbreedte-unit;pim_handgreephoogtes;pim_highvisibility;pim_hoogte;pim_hoogte-unit;pim_inhoud_opvangbak;pim_inhoud_opvangbak-unit;pim_instelbare_maaihoogte;pim_inwendige_schakelbreedte;pim_inwendige_schakelbreedte-unit;pim_kettinggeleider;pim_kettingsnelheid;pim_kettingsnelheid-unit;pim_kettingsteek;pim_kettingtype;pim_klasse;pim_kleur;pim_kleur_montuur;pim_lengte;pim_lengte-unit;pim_luchtdebiet;pim_luchtsnelheid;pim_luchtsnelheid-unit;pim_maaibereik;pim_maaibereik-unit;pim_maaibreedte_cm;pim_maat;pim_materiaal;pim_materiaal_van_maaidek;pim_max_takdikte;pim_max_takdikte-unit;pim_meegeleverd-nl_NL-sdl;pim_merknaam;pim_mesopening;pim_mesopening-unit;pim_mestype;pim_met_accu_lader;pim_minimale_bestelhoeveelheid;pim_motortype;pim_niet_meegeleverd-nl_NL-sdl;pim_noodstop;pim_normering;pim_onbelaste_snelheid;pim_oplaadtijd;pim_oplaadtijd-unit;pim_opvangzak;pim_opvangzak-unit;pim_opvangzak_achter;pim_opvangzak_achter-unit;pim_parkeerrem;pim_reflecterende_strepen;pim_rollengte;pim_rollengte-unit;pim_schakellengte;pim_schakellengte-unit;pim_schoepenwiel;pim_schoepenwiel-unit;pim_serie;pim_snelheid;pim_snelheidsinstelling;pim_snelheidsregeling;pim_snijcapaciteit;pim_snijhoogte;pim_snr_waarde;pim_snr_waarde-unit;pim_soft_start;pim_soort_ketting;pim_stof;pim_tandafstand_van_mes;pim_tandafstand_van_mes-unit;pim_toerental;pim_totale_lengte;pim_totale_lengte-unit;pim_transmissie;pim_transportwielen;pim_trillingen;pim_type;pim_uitvoering;pim_veiligheidsklasse;pim_ventury_jet;pim_vermogen;pim_verpakking;pim_verpakt_per;pim_verstelbare_blaasrichting;pim_voor_maaidraad_rond;pim_voor_maaidraad_stervormig;pim_voor_maaidraad_tot;pim_voor_maaidraad_vierkant;pim_voor_maaikop;pim_voor_type;pim_vorm;pim_waterafstotend;pim_werkbreedte;pim_werkbreedte-unit;pim_werkbreedte_min_max;pim_werking_van_messen;pim_wielaandrijving;pim_wijze_van_aandrijving;pim_zelfrijsnelheid;pim_zelfrijsnelheid-unit;pim_zoekwoorden;product_documents;product_document_1;product_document_2;product_document_3;product_document_4;product_document_5;product_document_6;product_document_7;product_document_8;product_document_9;product_document_10;product_images;product_image_1;product_image_2;product_image_3;product_image_4;product_image_5;product_image_6;product_image_7;product_image_8;product_image_9;product_image_10;product_video_1;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;X_SELL-groups;X_SELL-products;X_SELL-product_models
28700171;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2475t 75m 2.4mm voor ego trimmers twist line;24.78;2;02080000411103;1;;0;KILOGRAM;Ego;;28700095;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_4mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;groen_oranje;;75;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700172;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2490r 90m 2.4mm rond kleur oranje;20.65;2;02080000411127;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_4mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oranje;;90;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700173;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2715r 15m 2.7mm rond kleur rood;7.84;2;02080000411134;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_7mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rood;;15;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700174;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2715t 15m 2.7mm twist line kleur rood/groen;10.73;2;02080000411141;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_7mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rood_groen;;15;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700175;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2780r 80m 2.7mm rond rood;20.65;2;02080000411158;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_7mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rood;;80;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700176;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al2760t 60m 2.7mm twist line rood/groen;24.78;2;02080000411165;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_7mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rood_groen;;60;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700177;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al3012r 12m 3.0mm rond kleur geel;7.42;2;02080000411172;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;geel;;12;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700178;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al3012t 12m 3.0mm twist line kleur geel/groen;10.32;2;02080000411189;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;geel_groen;;12;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700179;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al3060r 60m 3.0mm rond kleur geel;20.65;2;02080000411196;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;geel;;60;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700180;alle_producten,be10401010,dl_ego,ego10401010,sdl10401010,tmc10401010;1;Maaidraad al3050t 50m 3.0mm twist line kleur geel/groen;24.78;2;02080000411202;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;geel_groen;;50;METER;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gedraaid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28700182;alle_producten,be10087500,sdl30035000;1;Ego abb0903p 3 tands maaimes flexible 250mmx4mm 25.4;20.65;2;02080000411226;1;;0;KILOGRAM;Ego;;;;;;originele_onderdelen_onze_belangrijkste_merken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20100801;alle_producten,be10040000,dl_ego,ego10040000,sdl10040025,tmc10040025;1;Ego gazonmaaier lm2135e-sp 52cm;825.61;2;02080000412100;1;;0;KILOGRAM;Ego;;20100068;20100600;20100035;;maaimachines;;;;;;;;;;;;;;gazonmaaier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mulchen en opvangen;;semi_professioneel;80;DECIBEL;90;DECIBEL;;;;;;;;;26;KILOGRAM;;;drie_door_gebruiker_aan_te_passen;;;;;;25_32_40_51_64_77_90;;;;;;;;;;;;;;;;1000;SQUARE_METER;52_cm;;;kunststof;;;Gazonmaaier met opvangzak (LM2130), 7,5 Ah accu (BA4200T), snellader (CH5500E);ego;;;;1;;koolborstelloos;Mulchkit;;;;;;;;70;LITER;;;;;;;;;;;;automatische_variabele_snelheid;;;;;;;;;;;;;;;0_61;;;;;;;;;;;;;;;;;;;;;;accugedreven;5;KILOMETER_PER_HOUR;;;;;;;;;;;;;;files/20100801/product_image_1/LM2135E-SP_Hero.png;files/20100801/product_image_2/LM2135E-SP_1.png;files/20100801/product_image_3/LM2135E-SP_3.png;files/20100801/product_image_4/LM2135E-SP_4.png;files/20100801/product_image_5/LM2135E-SP_5.png;files/20100801/product_image_6/LM2135E-SP_7.png;files/20100801/product_image_7/LM2135E-SP_8.png;files/20100801/product_image_8/LM2135E-SP_11.png;;;;;;;;20100515;;;28700185,28700186;
20100802;alle_producten,be15040010,dl_ego,ego15040010,sdl15040010,tmc15040010;1;Ego accu ba2240t 4,0 ah 56 volt accu;176.85;2;02080000412094;1;;0;KILOGRAM;Ego;;20100006;Ba2240e;;;accus_en_laders;;;;;;;;;;;56;VOLT;;accu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;semi_professioneel;;;;;;;;;;1,9 KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100802/product_image_1/BA2240T_Hero.png;;;;;;;;;;;;;;;;;;;
20100803;alle_producten,be15040010,dl_ego,ego15040010,sdl15040010,tmc15040010;1;Ego 150w power escape pad1501e(pad1500e,ba1400t,ch2100e);197.52;2;02080000412087;1;;0;KILOGRAM;Ego;;;;;;accus_en_laders;;;;;;;;;;;;;;omvormer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAD1501E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100803/product_image_1/PAD1501E_1_BS.png;;;;;;;;;;;;;;;;;;;
20100804;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego strimmer st1401e-st;288.42;2;02080000412070;1;;0;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_4mm;powerload_maaikop;;;met_de_klok_mee;;;;Particulier;75;DECIBEL;93;DECIBEL;;;;;;;;;3400;GRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;1;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;variabele_snelheid;;;;;;;;;;;183;CENTIMETER;;;3_2en2_3;ST1401E-ST;;;;;;;;;;;;;;;;35;CENTIMETER;;;;accugedreven;;;;;;;;;;;;;;;;files/20100804/product_image_1/ST1401E-ST_Hero.png;;;;;;;;;;;;;;;;;;;
20100805;alle_producten,be10025000,dl_ego,ego10025000,sdl10025000,tmc10025000;1;Ego top handelzaag csx3000 30cm;412.39;2;02080000412001;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;;;;;;;;;;;;;30cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;88;DECIBEL;98;DECIBEL;;;;;;;;;3.50;KILOGRAM;;;;;;;;;;;;ag1200;20;METER_PER_SECOND;;ac1200;;;;;;;;;;;;;;;;;;ego;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1_7en2_2;CSX3000;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100805/product_image_1/CSX3000_3.png;;;;;;;;;;;;;;;;;;;
20100806;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego strimmer st1400e-st st1400e-st;180.99;2;02080000411981;1;;0;KILOGRAM;Ego;;20100052;20100001;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_4mm;powerload_maaikop;;;met_de_klok_mee;;;;Particulier;75;DECIBEL;93;DECIBEL;;;;;;;;;3400;GRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;0;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;variabele_snelheid;;;;;;;;;;;183;CENTIMETER;;;3_2en2_3;ST1400E-ST;;;;;;;;;;;;;;;;35;CENTIMETER;;;;accugedreven;;;;;;;;;;;;;;;;files/20100806/product_image_1/ST1401E-ST_Hero.png;;;;;;;;;;;;;;;;;;;
20100807;alle_producten,be15040010,dl_ego,ego15040010,sdl15040010,tmc15040010;1;Ego 150w power escape pad1500e;90.08;2;02080000411998;1;;0;KILOGRAM;Ego;;;;;;accus_en_laders;;;;;;;;;;;;;;omvormer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAD1500E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100807/product_image_1/PAD1500E_Hero_VDE.png;;;;;;;;;;;;;;;;;;;
20100808;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego heggenschaar ptx5100 51cm pole hedge;205.78;2;02080000412056;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;3000;;;;;;;;;;stokheggenschaar;;;;;;;;;;;;51_cm;;;;;;;;;;;;;;;;;;;;;;1;;;;;;Professioneel;;;;;;;;;;;;;2.30;KILOGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;26;MILLIMETER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.80;MILLIMETER;;;;;;;;;;;;;;;;;;;;;;;;;;dubbele_werking_dubbelzijdig_snijblad;;accugedreven;;;;;;;;;;;;;;;;files/20100808/product_image_1/PTX5100_2-min.jpg;files/20100808/product_image_2/PTX5100_10.jpg;files/20100808/product_image_3/PTX5100_14.jpg;;;;;;;;;;;;;;;;;
20100809;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego kettingzaag psx2500 25cm pole saw;180.99;2;02080000412049;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;telscopisch_snoeisysteem;;;;;;;;;;;;25cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;85;DECIBEL;99;DECIBEL;;;;;;;;;2.20;KILOGRAM;;;;;;;;;;;;;22;METER_PER_SECOND;;;;;;;;;;;;;;;;;200;MILLIMETER;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;variabele_snelheid;;;;;;;;;;;;;;;1_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100809/product_image_1/PSX2500_2-min.jpg;;;;;;;;;;;;;;;;;;;
20100810;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego kettingzaag ppx1000 telescopic pole;354.54;2;02080000412032;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;telscopisch_snoeisysteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;;;;;;;;;;;;;3.50;KILOGRAM;;;;;;;;;;;;;;;;;;;;2650;MILLIMETER;;;;;;;;;;;;;ego;;;;0;;;;;;;;;;;;;;;;;;;;;;;;variabele_snelheid;;;;;;;;;;;;;;;;PPX1000;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100810/product_image_1/PTX5100_1-min.jpg;;;;;;;;;;;;;;;;;;;
20100811;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego long reach ppcx1000 kit (ppx1000,psx2500,ptx5100);660.33;2;02080000412063;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;telscopisch_snoeisysteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PPX1000;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100811/product_image_1/PTX5100_6-min.jpg;files/20100811/product_image_2/PTX5100_2-min.png;files/20100811/product_image_3/PSX2500_2-min.png;;;;;;;;;;;;;;;;;
20100815;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego heggenschaar ht2000e;164.46;2;06924969105313;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;heggenschaar;;;;;;;;;;;;61_cm;;1;;;;;;;;;;;;;;;;;;;;0;;;;;;Particulier;81;DECIBEL;94;DECIBEL;;;;;;;;;2.80;KILOGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;25;MILLIMETER;lasergesneden_diamantgeslepen;0;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;een_snelheid;25mm;;;;;;;20;MILLIMETER;;;;;;2_1en1_5;HT2000E;;;;;;;;;;;;;;;;;;;dubbele_werking_enkelzijdig_snijblad;;accugedreven;;;;;;;;;;;;;;;;files/20100815/product_image_1/HT2001E.png;;;;;;;;;;;;;;;;;;;
20100820;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego trimmer st1300e-s;131.40;2;02080000411967;1;;0;KILOGRAM;Ego;;20100020;20100000;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2mm;tap_n_go;;;met_de_klok_mee;;;;Particulier;71;DECIBEL;91;DECIBEL;;;;;;;;;2700;GRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;0;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;constante_snelheid;;;;;;;;;;;173;CENTIMETER;;;2_1en1_2;ST1300E-S;;;;;;;;;;;;;;;;33;CENTIMETER;;;;accugedreven;;;;;;;;;;;;;;;;files/20100820/product_image_1/ST1300E-S.png;;;;;;;;;;;;;;;;;;;
20100825;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego trimmer st1301e-s;238.84;2;02080000411974;1;;0;KILOGRAM;Ego;;20100528;20100525;20100051;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2mm;tap_n_go;;;met_de_klok_mee;;;;Particulier;71;DECIBEL;91;DECIBEL;;;;;;;;;2700;GRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;1;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;constante_snelheid;;;;;;;;;;;173;CENTIMETER;;;2_1en1_2;ST1301E-S;;;;;;;;;;;;;;;;33;CENTIMETER;;;;accugedreven;;;;;;;;;;;;;;;;files/20100825/product_image_1/ST1300E-S.png;;;;;;;;;;;;;;;;;;;
20100830;alle_producten,be10025000,dl_ego,ego10025000,sdl10025000,tmc10025000;1;Ego top handelzaag csx3002 kit(csx3000,ba2240t,ch5500) 30cm;577.68;2;02080000412018;1;;0;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CSX3002;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100830/product_image_1/CSX3000_3.png;;;;;;;;;;;;;;;;;;20100802,28700194;
20100835;alle_producten,be15001500,dl_ego,ego15001500,sdl15001530,tmc15001530;1;Ego rotocut deel rta2300 multitool;247.10;2;02080000412025;1;;0;KILOGRAM;Ego;;;;;;multitools;;;;;;;;;;;;;;reciprocateur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100835/product_image_1/RTA2300_1.png;files/20100835/product_image_2/RTA2300_2.png;files/20100835/product_image_3/RTA2300_3.png;files/20100835/product_image_4/rta2300.jpg;;;;;;;;;;;;;;;;
20100812;alle_producten,be15020005,dl_ego,ego15020005,sdl15020005,tmc15020005;1;Ego heggenschaar ht2411e promotie kit (2,5ah+std.lader);288.42;2;02080000412155;1;;0;KILOGRAM;Ego;;20100550;20100557;20100019;Ht2401e;snoeien_en_zagen;;;;;;;;;;;;;;heggenschaar;;;;;;;;;;;;61_cm;;1;;;;;;;;;;;;;;;;;;;;0;;;;;;Particulier;83;DECIBEL;96;DECIBEL;;;;;;;;;3;KILOGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;lasergesneden_diamantgeslepen;1;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;een_snelheid;26mm;;;;;;;20;MILLIMETER;;;;;;2_1en1_5;HT2411E;;;;;;;;;;;;;;;;;;;dubbele_werking_enkelzijdig_snijblad;;accugedreven;;;;;;;;;;;;;;;;files/20100812/product_image_1/HT2410_1.png;files/20100812/product_image_2/HT2410_4.png;;;;;;;;;;;;;;;;;;
20100765;alle_producten,be10005005,dl_ego,sdl10005005;1;Ego sneeuwblazer 61 cm kit snt2400e-k2753;1652.06;2;02080000412179;1;;0;KILOGRAM;Ego;;;;;;bladblazers_en_hakselaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
