sku;categories;enabled;erp_artikelomschrijving;erp_brutoprijs-EUR;erp_btwcode;erp_eancode;erp_eenheid_verkoopaantal;erp_extra_artikelinformatie;erp_gewicht;erp_gewicht-unit;erp_merk;erp_vervangend_artikel;erp_voorlopend_artikelnummer_1;erp_voorlopend_artikelnummer_2;erp_voorlopend_artikelnummer_3;erp_voorlopend_artikelnummer_4;family;pim_aansluiting_hart_op_hart;pim_aansluiting_hart_op_hart-unit;pim_aantal_aandrijfschakels;pim_aantal_bewegingen_min;pim_aantal_in_machine;pim_aantal_lagen;pim_aantal_tanden;pim_accuduur_boost_snelheid;pim_accuduur_hoge_snelheid;pim_accuduur_lage_snelheid;pim_accuspanning;pim_accuspanning-unit;pim_afmetingen;pim_artikelnaam;pim_artikelstatus;pim_asgat;pim_asgat-unit;pim_bandenmaat;pim_binnendoorsnee_band;pim_binnendoorsnee_band-unit;pim_blaaspijpen;pim_blaaspijpen-unit;pim_bladaansluiting;pim_bladbreedte;pim_bladbreedte-unit;pim_bladlengte_cm;pim_bladmodel;pim_bladpuntbescherming;pim_blad_dikte_mm;pim_blad_dikte_mm-unit;pim_breedte;pim_breedte-unit;pim_buitendoorsnee_band;pim_buitendoorsnee_band-unit;pim_capaciteit;pim_centreergaten;pim_centreergaten-unit;pim_diameter;pim_diameter-unit;pim_diepte;pim_diepte-unit;pim_dikte;pim_dikte-unit;pim_dikte_aandrijfschakel;pim_dikte_aandrijfschakel-unit;pim_draaddiameter;pim_draaddoorvoer;pim_draaibare_handgreep;pim_draaiing;pim_draairichting;pim_ergonomische_stuurbeugel;pim_functies;pim_gebruiksduur;pim_gebruikstoepassing;pim_geluidsniveau;pim_geluidsniveau-unit;pim_geluidsniveau_in_gebruik;pim_geluidsniveau_in_gebruik-unit;pim_geluidsvermogen;pim_geluidsvermogen-unit;pim_geschikt_voor;pim_geschikt_voor_merk;pim_geschikt_voor_type;pim_gewicht;pim_gewicht_met_accu;pim_gewicht_met_accu-unit;pim_gewicht_zonder_accu;pim_gewicht_zonder_accu-unit;pim_groefbreedte;pim_groefbreedte-unit;pim_handgreephoogtes;pim_highvisibility;pim_hoogte;pim_hoogte-unit;pim_inhoud_opvangbak;pim_inhoud_opvangbak-unit;pim_instelbare_maaihoogte;pim_inwendige_schakelbreedte;pim_inwendige_schakelbreedte-unit;pim_kettinggeleider;pim_kettingsnelheid;pim_kettingsnelheid-unit;pim_kettingsteek;pim_kettingtype;pim_klasse;pim_kleur;pim_kleur_montuur;pim_lengte;pim_lengte-unit;pim_luchtdebiet;pim_luchtsnelheid;pim_luchtsnelheid-unit;pim_maaibereik;pim_maaibereik-unit;pim_maaibreedte_cm;pim_maat;pim_materiaal;pim_materiaal_van_maaidek;pim_max_takdikte;pim_max_takdikte-unit;pim_meegeleverd-nl_NL-sdl;pim_merknaam;pim_mesopening;pim_mesopening-unit;pim_mestype;pim_met_accu_lader;pim_minimale_bestelhoeveelheid;pim_motortype;pim_niet_meegeleverd-nl_NL-sdl;pim_noodstop;pim_normering;pim_onbelaste_snelheid;pim_oplaadtijd;pim_oplaadtijd-unit;pim_opvangzak;pim_opvangzak-unit;pim_opvangzak_achter;pim_opvangzak_achter-unit;pim_parkeerrem;pim_reflecterende_strepen;pim_rollengte;pim_rollengte-unit;pim_schakellengte;pim_schakellengte-unit;pim_schoepenwiel;pim_schoepenwiel-unit;pim_serie;pim_snelheid;pim_snelheidsinstelling;pim_snelheidsregeling;pim_snijcapaciteit;pim_snijhoogte;pim_snr_waarde;pim_snr_waarde-unit;pim_soft_start;pim_soort_ketting;pim_stof;pim_tandafstand_van_mes;pim_tandafstand_van_mes-unit;pim_toerental;pim_totale_lengte;pim_totale_lengte-unit;pim_transmissie;pim_transportwielen;pim_trillingen;pim_type;pim_uitvoering;pim_veiligheidsklasse;pim_ventury_jet;pim_vermogen;pim_verpakking;pim_verpakt_per;pim_verstelbare_blaasrichting;pim_voor_maaidraad_rond;pim_voor_maaidraad_stervormig;pim_voor_maaidraad_tot;pim_voor_maaidraad_vierkant;pim_voor_maaikop;pim_voor_type;pim_vorm;pim_waterafstotend;pim_werkbreedte;pim_werkbreedte-unit;pim_werkbreedte_min_max;pim_werking_van_messen;pim_wielaandrijving;pim_wijze_van_aandrijving;pim_zelfrijsnelheid;pim_zelfrijsnelheid-unit;pim_zoekwoorden;product_documents;product_document_1;product_document_2;product_document_3;product_document_4;product_document_5;product_document_6;product_document_7;product_document_8;product_document_9;product_document_10;product_images;product_image_1;product_image_2;product_image_3;product_image_4;product_image_5;product_image_6;product_image_7;product_image_8;product_image_9;product_image_10;product_video_1;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;X_SELL-groups;X_SELL-products;X_SELL-product_models
28700150;alle_producten,be30150525,dl_ego,ego30150525,sdl20000000,sdl30150525,tmc30150525;1;EGO 91PX062E ketting AC1800   voor CS1800E  =AC1801;19;2;02080000405560;1;;0;KILOGRAM;Ego;;;;;;zaagkettingen_en_onderdelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AC1800;;;;;;;;;;;;;;;;;;;;;;;;ac1801;;;;;;;;;;;;;files/28700150/product_image_1/AC1400_CS1400E.jpg;;;;;;;;;;;;;;;;;;;
28700151;alle_producten,be30152010,dl_ego,ego30152010,sdl30152010,tmc30152010;1;Ego ag1800 45cm guide bar;28.91;2;02080000405577;1;;0;KILOGRAM;Ego;;;;;;zaagkettingen_en_onderdelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AG1800;;;;;;;;;;;;;;;;;;;;;;;;ag1801;;;;;;;;;;;;;files/28700151/product_image_1/AG1400_EGO ChainSaw Guide Bar_.png;;;;;;;;;;;;;;;;;;;
28700152;alle_producten,be10085500,dl_ego,ego10085500,sdl10085500,tmc10085500;1;Ego bbox2550 accu opbergbox;74.37;2;02080000405591;1;;0;KILOGRAM;Ego;;;;;;opbergen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700152/product_image_1/BBOX2550_1.png;files/28700152/product_image_2/BBOX2550_2.png;;;;;;;;;;;;;;;;;;
28700153;alle_producten,be10085500,dl_ego,ego10085500,sdl10085500,tmc10085500;1;Ego bbox3000 accu opbergbox;123.14;2;02080000405607;1;;0;KILOGRAM;Ego;;;;;;opbergen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700153/product_image_1/bbox3000.png;;;;;;;;;;;;;;;;;;;
28700154;alle_producten,be45004500,dl_ego,ego45004500,sdl45004500,tmc45004500;1;Ego handschoen gv001e-xxxl maat xxxl synthetisch;13.21;2;02080000405614;1;;0;KILOGRAM;Ego;;;;;;handschoenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;xxxl;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GV001E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700154/product_image_1/GV001_EGO Synthetic Work Glove_Hi Res.jpg;;;;;;;;;;;;;;;28700093,28700096,28700110;;;28700093,28700096,28700110;
28700155;alle_producten,be15001500,dl_ego,ego15001500,sdl15001530,tmc15001530;1;Ego paddle broom arb2100;82.63;2;02080000405119;1;;0;KILOGRAM;Ego;;28700149;;;;multitools;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700155/product_image_1/arb2100.jpg;;;;;;;;;;;;;;;;;;;
28700160;alle_producten,be10005006,dl_ego,ego10005006,sdl10005025,tmc10005025;1;Ego dakgoot reiniger agc1001;41.31;2;02080000405249;1;;0;KILOGRAM;Ego;;;;;;bladblazers_en_hakselaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGC1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700160/product_image_1/AGC1001.jpg;;;;;;;;;;;;;;;20100565;;;28700087;
28700165;alle_producten,be10401025,dl_ego,ego10401025,sdl10040050,tmc10040050;1;Ego ar1900 gazonroller 47cm t.b.v lm1900-e-sp lm1903-e-sp;57.84;2;02080000408561;1;;0;KILOGRAM;Ego;;;;;;toebehoren_maaimachines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AR1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700165/product_image_1/AR1900.jpg;files/28700165/product_image_2/EGO_Lawnmower_6.jpg;;;;;;;;;;;;;;;;;;
28700170;alle_producten,be10401025,dl_ego,ego10401025,sdl10040050,tmc10040050;1;Ego ar1700 gazonroller 42cm t.b.v lm1701e-lm1700-lm1701esp;49.57;2;02080000408615;1;;0;KILOGRAM;Ego;;;;;;toebehoren_maaimachines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AR1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/28700170/product_image_1/AR1900.jpg;files/28700170/product_image_2/EGO_Lawnmower_6.jpg;;;;;;;;;;;;;;;;;;
20100745;alle_producten,be15001500,dl_ego,ego15001500,sdl15001520,tmc15001520;1;Ego borstel bba2100 aanbouwdeel;222.31;2;02080000409452;1;;5;KILOGRAM;Ego;;;;;;multitools;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100745/product_image_1/bba2100.jpg;;;;;;;;;;;;;;;;;;28700148,28700155;
